sentiment,review_body,product_category
-1,I was very disappointed with my recent retailer order. i ordered the meleri eyelet tank and it had a stain on the front. i also order a dress that came with a tear in the fabric. sale items should not be damaged unless the customer is aware of the damage and accepts it in that condition. very disappointing.,Blouses
-1,Pretty design  but when i tried it on  the fabric was thin and delicate. i don't think it would last long with much wear. too bad. if the fabric were sturdier  it'd be great as the cut is flattering and i love the pockets.,Blouses
-1,First  the fabric is beautiful and lovely for spring and summer. i really wanted to like this top  but the fitting is so awkward for me. i typically where a 0/xs  and sized up in the shirt to a size 2. it was very tight and pulled funny across the chest (size 32/a). i also found the cut at the shoulders very narrow (need a strapless bra) and made it look unflattering overall. had to return this one back to the store.,Blouses
-1,So much extra fabric. not something i would recommend buying online.,Blouses
-1,"I was struggling with the options above-- does it fit true to size or is it too small or too large? it is both too small and too large  which is really strange. the model makes this shirt look stunning  but the product is actually very boxy. i am 5' 3""  weigh 112 lbs and i typically order anywhere from a 00p-0r/xxs-xs. i ordered this shirt in an xsp and the shirt sleeves were short and the middle was boxy. quite frankly  it looked like a maternity shirt and the structure was not worth the money",Blouses
-1,This is the first hd in paris top i haven't loved. high hopes for this top since i love the brand and the color. this was an online only item so i guessed at the size  typically order a 4 petite. ordered the 4 regular since the length was already quite short in the regular length. it was oddly constructed  small in the arms but boxy and oddly bell shaped bottom. the lining was tough to keep straightened while trying to put it on. too bad  but it went back,Blouses
-1,I love this top so much online. i received it yesterday in the mail and unfortunately i am very disappointed.  there is nothing wrong with the quality but i do think it looks more appealing online. also  this top is probably not for anyone with a large chest. it looks nice and drapey on the model. when i put it on it just makes me look fat and the top (thanks to my 38dds) looks more like a swing top. i'm sure it's a lovely top on very thin people with a smaller chest.,Blouses
-1,The price is high and i have to dry clean this? no thanks.,Blouses
-1,Sometimes i order things online that i can hardly wait to arrive  and then once they do  i wonder if i made a mistake when ordering it. this is one of those times  and it was not my mistake. the shirt i received is not like this one. it is an xs  but it is quite large falling inches below where this one hits on the model. everyone i have shown the shirt to says that it is a denim blue color  not grey at all. it is a pretty color  but not what i thought i was ordering. i hate it when this happens,Blouses
0,I bought the orange in xxs petite  and the cream in the xsp as it did not come in xxs.    i like a swing style  but this is a tent. the material in the cream is fairly sheer  and i found hanging threads that came from suspect seams. the overall effects was being lost in all the fabric. they rather skew old school maternity in summation. mine are going back.,Blouses
0,I love this blouse  i've received so many compliments on it. unfortunately i just got it back from the dry cleaners and the color completely changed to a pale yellow! it also ate away some of the fabric  so now it's completely transparent... and i go to an organic cleaners!     retailer: if you can fix the fabric quality this blouse would be a classic.,Blouses
0,I purchased this blouse in my usual size xl. the wine color is very nice  sort of a rusty cranberry. i so badly wanted to love this blouse but i have to return it. there is so much fabric in the back that it makes me look like a giant cranberry. it is not flattering at all on my full figure. maybe if i was very slender  the massive volume of fabric wouldn't matter but sadly it needs to go back. on a side note  this is a cotton blouse and i believe it is going to require ironing since i badly wri,Blouses
0,"I really wanted to like this top  but couldn't seem to find the right fit. i tried it on in 3 different sizes and none of them were right - they were either too wide in the hips  or a little narrow in the shoulder. it is cute overall though - and a good way to do a short top  without feeling like you're in a ""crop top""",Blouses
0,I bought this a few weeks back. when i saw it (the blue one) in the store i touched it and it was extremely soft and even plush like. i tried it on and found it odd that this cloth and stone garment  like other viewers stated fit my bust and hips  typically they don't. i love the side buttons. i wear mine opened half way. my only complaint is i've washed it like the instructions state and my blouse is no longer as soft as it was before  and it needs to be ironed as it wrinkles easily. i still li,Blouses
