step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
353,CASH_OUT,219357.74,C1577691979,41333.0,0.0,C1514292382,1484022.75,1703380.49
353,CASH_OUT,236536.25,C718944579,10159.0,0.0,C580854171,2306418.9,2542955.15
353,CASH_OUT,96484.5,C485437992,25890.0,0.0,C1022331956,295277.58,391762.08
353,CASH_IN,43824.37,C1913505415,18181.0,62005.37,C1952034932,1487227.73,1443403.35
353,CASH_OUT,158015.74,C1632462974,30057.0,0.0,C1094191785,0.0,158015.74
353,PAYMENT,14344.91,C438719797,0.0,0.0,M2134727211,0.0,0.0
353,CASH_OUT,394883.93,C1662554805,202436.0,0.0,C687503012,219756.3,614640.22
353,PAYMENT,21459.26,C1763444784,159831.0,138371.74,M1102804955,0.0,0.0
353,CASH_OUT,37198.36,C1422037445,206846.0,169647.64,C1497829012,25448.0,62646.37
353,CASH_OUT,280353.4,C1944599762,30625.0,0.0,C381164305,1389528.35,1669881.75
353,PAYMENT,8424.11,C2050811671,0.0,0.0,M1621316132,0.0,0.0
353,PAYMENT,4453.33,C539994956,0.0,0.0,M303242551,0.0,0.0
353,CASH_OUT,101032.53,C252335165,31084.0,0.0,C874257063,63002.73,164035.25
353,PAYMENT,28437.88,C1967261066,0.0,0.0,M686466469,0.0,0.0
353,PAYMENT,1790.93,C572194602,0.0,0.0,M2137844968,0.0,0.0
353,PAYMENT,14557.02,C451397850,0.0,0.0,M1734181294,0.0,0.0
353,PAYMENT,4966.94,C306954688,0.0,0.0,M181957837,0.0,0.0
353,PAYMENT,14255.91,C777899092,0.0,0.0,M629565632,0.0,0.0
353,CASH_IN,125189.16,C1762654321,38038.0,163227.16,C24806726,965289.44,840100.28
353,CASH_OUT,308685.59,C548968321,29411.0,0.0,C2105197407,0.0,308685.59
353,PAYMENT,33550.85,C1615319214,12389.0,0.0,M1980855310,0.0,0.0
353,CASH_IN,211791.47,C1623971533,0.0,211791.47,C1909145998,1646026.82,1434235.35
353,CASH_IN,81792.49,C78336458,211791.47,293583.96,C1112491722,295017.73,213225.25
353,CASH_IN,192600.99,C1513562961,293583.96,486184.95,C1154018408,5918376.96,5725775.97
353,CASH_IN,225448.62,C670797085,486184.95,711633.58,C1346184503,1066503.79,841055.17
353,CASH_IN,111399.96,C423123601,711633.58,823033.54,C1130869429,1819503.6,1708103.64
353,CASH_IN,182971.15,C1203993981,823033.54,1006004.69,C1112138799,187377.7,4406.55
353,CASH_IN,365426.72,C613278591,1006004.69,1371431.41,C1854448921,2576859.5,2211432.78
353,CASH_IN,16266.16,C1600455062,1371431.41,1387697.57,C787613358,4352636.51,4336370.35
353,CASH_IN,206783.65,C72492089,1387697.57,1594481.22,C1964895078,4054617.25,3847833.6
353,CASH_IN,74455.67,C1487313243,1594481.22,1668936.89,C1570067857,118233.96,43778.28
353,CASH_IN,116734.38,C335220523,1668936.89,1785671.27,C1015309486,2262493.35,2145758.97
353,CASH_IN,123071.43,C1684395379,1785671.27,1908742.7,C402859616,237183.76,114112.33
353,CASH_IN,337883.96,C1904432682,1908742.7,2246626.66,C1508500158,588481.82,250597.86
353,CASH_IN,257168.42,C486765824,2246626.66,2503795.08,C1670954894,6178273.38,5921104.97
353,CASH_IN,94908.28,C1447736284,2503795.08,2598703.36,C1893673595,6774029.46,6679121.18
353,CASH_IN,140551.85,C474888747,2598703.36,2739255.21,C1050625178,958416.9,817865.05
353,CASH_IN,286267.38,C1998003598,2739255.21,3025522.59,C748621785,1686443.35,1400175.98
353,CASH_IN,400336.44,C1899683097,3025522.59,3425859.03,C1109657421,1042436.66,642100.22
353,CASH_IN,136351.56,C1928156337,3425859.03,3562210.59,C828772907,147549.52,11197.97
353,CASH_IN,119624.5,C530556837,3562210.59,3681835.08,C13977656,252559.11,132934.62
353,CASH_IN,54368.04,C1345004213,3681835.08,3736203.12,C520255216,326381.82,272013.78
353,PAYMENT,4147.51,C2002714556,236.0,0.0,M1863214394,0.0,0.0
353,PAYMENT,9409.87,C231622129,0.0,0.0,M75100279,0.0,0.0
353,CASH_OUT,54585.08,C73030747,49729.0,0.0,C603485719,0.0,54585.08
353,PAYMENT,49286.9,C409063007,51099.0,1812.1,M1744822639,0.0,0.0
353,PAYMENT,34751.14,C743333807,144460.0,109708.86,M2048943865,0.0,0.0
353,CASH_OUT,130909.93,C1814387924,10626.0,0.0,C389234749,0.0,130909.93
353,PAYMENT,12563.18,C1950952614,8061.0,0.0,M715437735,0.0,0.0
353,PAYMENT,674.22,C1397361316,0.0,0.0,M357511141,0.0,0.0
353,CASH_IN,117145.95,C677256694,146583.0,263728.95,C1966264184,270883.21,153737.26
353,PAYMENT,5898.23,C658540500,99611.0,93712.77,M618444466,0.0,0.0
353,PAYMENT,21649.5,C1216386507,75.0,0.0,M283742336,0.0,0.0
353,TRANSFER,2574434.68,C867486574,27817.0,0.0,C2056205037,0.0,2574434.68
