step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
461,PAYMENT,4127.41,C1122055263,505820.0,501692.59,M345349241,0.0,0.0
461,CASH_OUT,57793.89,C1991919986,501692.59,443898.7,C1224168502,761302.65,819096.55
461,PAYMENT,640.99,C1934910356,20.0,0.0,M945615469,0.0,0.0
461,PAYMENT,2129.8,C1230667,9969.0,7839.2,M608698338,0.0,0.0
461,TRANSFER,1568043.02,C1952411709,7839.2,0.0,C1498907530,2336313.75,3904356.77
461,TRANSFER,2255817.65,C734997313,0.0,0.0,C1551508365,2884557.58,5140375.23
461,TRANSFER,937279.77,C1039243756,0.0,0.0,C1216817321,4988121.53,5925401.29
461,TRANSFER,845566.9,C642959711,0.0,0.0,C70982203,2010363.38,2855930.28
461,TRANSFER,9746.13,C688098096,0.0,0.0,C1098438303,36447.48,46193.61
461,TRANSFER,72440.8,C2076452978,0.0,0.0,C1350102480,117038.11,189478.91
461,TRANSFER,873425.22,C1246490655,0.0,0.0,C1848164797,1385253.36,2258678.58
461,TRANSFER,972494.99,C2061750328,0.0,0.0,C1745037526,2191877.44,3164372.43
461,TRANSFER,200302.13,C1326227039,0.0,0.0,C1940849986,576866.74,777168.87
461,TRANSFER,952493.22,C357673076,0.0,0.0,C752567681,3973818.04,4926311.26
461,TRANSFER,973739.17,C9402825,0.0,0.0,C1570399818,6201270.08,7175009.25
461,TRANSFER,647242.14,C1678318576,0.0,0.0,C2130042792,3472403.5,4119645.65
461,TRANSFER,962391.77,C1339854664,0.0,0.0,C640405071,2446403.89,3408795.66
461,TRANSFER,377515.66,C1473682639,0.0,0.0,C1063659055,636744.71,1014260.37
461,TRANSFER,57443.28,C745334477,0.0,0.0,C1348355402,2378060.89,2435504.18
461,TRANSFER,377049.72,C9879083,0.0,0.0,C855954680,1973032.31,2350082.03
461,TRANSFER,366392.33,C731629502,0.0,0.0,C1053245399,9787002.57,1.01533949E7
461,TRANSFER,45132.96,C1212684006,0.0,0.0,C1339989936,698294.07,743427.03
461,TRANSFER,627956.11,C64609196,0.0,0.0,C1160080479,1223291.25,1851247.35
461,TRANSFER,1464614.79,C915102234,1464614.79,0.0,C475837987,0.0,0.0
461,CASH_OUT,1464614.79,C1138281794,1464614.79,0.0,C1873232780,0.0,1464614.79
461,TRANSFER,6273660.45,C1269763321,6273660.45,0.0,C7990337,0.0,0.0
461,CASH_OUT,6273660.45,C107395739,6273660.45,0.0,C133285167,763912.31,7037572.76
461,PAYMENT,2999.79,C1783724999,50746.0,47746.21,M1877346578,0.0,0.0
461,PAYMENT,1608.27,C1545410771,6477.0,4868.73,M1864160169,0.0,0.0
461,PAYMENT,19887.0,C250745550,4868.73,0.0,M1367549083,0.0,0.0
461,PAYMENT,2077.23,C1701602808,668.0,0.0,M1818518375,0.0,0.0
461,PAYMENT,1077.57,C493367749,10130.0,9052.43,M344491024,0.0,0.0
461,PAYMENT,1121.2,C2082802774,157.0,0.0,M1238681182,0.0,0.0
461,PAYMENT,1803.81,C367927480,20132.0,18328.19,M1167494673,0.0,0.0
461,PAYMENT,2871.21,C293956937,8988.0,6116.79,M2114760465,0.0,0.0
461,PAYMENT,1061.19,C444840840,6116.79,5055.6,M1796491471,0.0,0.0
461,PAYMENT,184.12,C1363255233,20957.0,20772.88,M1252968159,0.0,0.0
461,PAYMENT,111.93,C1299610617,20259.0,20147.07,M74256552,0.0,0.0
461,PAYMENT,11925.04,C1502558323,20147.07,8222.03,M1705743779,0.0,0.0
461,TRANSFER,1028284.82,C469537628,1028284.82,0.0,C161770106,0.0,0.0
461,CASH_OUT,1028284.82,C2004363483,1028284.82,0.0,C165602524,0.0,1028284.82
461,TRANSFER,125153.57,C1460980455,125153.57,0.0,C698942634,0.0,0.0
461,CASH_OUT,125153.57,C1856719659,125153.57,0.0,C1226867237,7517.14,132670.71
461,PAYMENT,3.72,C288506833,8315.0,8311.28,M666537948,0.0,0.0
461,PAYMENT,3302.74,C1443375678,119803.0,116500.26,M1649328583,0.0,0.0
461,TRANSFER,830991.53,C1642150548,830991.53,0.0,C1757788418,0.0,0.0
461,CASH_OUT,830991.53,C307666203,830991.53,0.0,C1498742715,48795.65,879787.17
461,PAYMENT,469.41,C85466293,378909.0,378439.59,M298624296,0.0,0.0
461,PAYMENT,2736.77,C2039552031,90193.0,87456.23,M1602878579,0.0,0.0
461,CASH_OUT,97765.63,C447856259,87456.23,0.0,C283088330,2.104423E7,2.114199563E7
461,TRANSFER,873356.47,C1856023832,873356.47,0.0,C625389009,0.0,0.0
461,CASH_OUT,873356.47,C528486707,873356.47,0.0,C759025632,105657.71,979014.18
461,PAYMENT,4953.33,C268049620,1377.0,0.0,M413728270,0.0,0.0
461,PAYMENT,1527.73,C1930123374,204946.0,203418.27,M1813894837,0.0,0.0
461,CASH_OUT,37882.76,C870218590,203418.27,165535.51,C614596051,648710.11,686592.87
461,CASH_OUT,343169.79,C1826208677,165535.51,0.0,C2146918437,1876264.61,2219434.4
461,CASH_OUT,156353.25,C1161315960,0.0,0.0,C347441283,1676620.65,1832973.91
461,CASH_OUT,178055.43,C1192396820,0.0,0.0,C1988490950,1648545.65,1826601.09
461,CASH_OUT,15198.41,C123080483,0.0,0.0,C1921781866,1220762.76,1235961.17
461,CASH_OUT,215197.97,C645110015,0.0,0.0,C1243819449,649485.14,864683.11
461,CASH_OUT,43403.28,C561975759,0.0,0.0,C368160324,1147574.65,1190977.93
461,CASH_OUT,31054.68,C1929277404,0.0,0.0,C1889118188,338155.41,369210.09
461,CASH_OUT,226892.22,C1164331447,0.0,0.0,C552730791,419434.05,646326.27
461,CASH_OUT,278498.83,C2137560452,0.0,0.0,C1728365434,1920592.12,2199090.94
461,CASH_OUT,221107.55,C641733327,0.0,0.0,C1366496675,1014988.99,1236096.54
461,CASH_OUT,401775.99,C666966356,0.0,0.0,C598051394,1.056938624E7,1.097116223E7
461,CASH_OUT,69446.61,C1352517610,0.0,0.0,C707993034,2435601.51,2505048.13
461,CASH_OUT,324161.09,C1810021576,0.0,0.0,C1245878583,370518.84,694679.93
461,CASH_OUT,106687.84,C1293032721,0.0,0.0,C1013985863,205339.8,312027.64
461,CASH_OUT,107732.34,C1647752798,0.0,0.0,C2138129938,6663750.57,6771482.92
461,CASH_OUT,58170.27,C1546297189,0.0,0.0,C658368471,548019.87,606190.14
461,CASH_OUT,161575.68,C584084692,0.0,0.0,C346976233,162884.5,324460.19
461,CASH_OUT,110234.33,C2138511114,0.0,0.0,C1593110590,620129.75,730364.08
461,CASH_OUT,93989.05,C681888508,0.0,0.0,C1089973876,663155.3,757144.35
461,CASH_OUT,42066.1,C545110330,0.0,0.0,C575602340,81189.88,123255.98
461,TRANSFER,227955.85,C32167725,227955.85,0.0,C1980945664,0.0,0.0
461,CASH_OUT,227955.85,C1180847965,227955.85,0.0,C217315121,2560547.71,2788503.56
461,TRANSFER,226689.16,C1210027591,226689.16,0.0,C673284647,0.0,0.0
461,CASH_OUT,226689.16,C98982423,226689.16,0.0,C229328572,173244.92,399934.08
461,PAYMENT,308.97,C1382200889,114007.0,113698.03,M112071567,0.0,0.0
461,PAYMENT,735.03,C846710955,35288.0,34552.97,M91621904,0.0,0.0
461,PAYMENT,3668.31,C1113765881,64331.0,60662.69,M874964561,0.0,0.0
461,PAYMENT,803.12,C941114094,42155.0,41351.88,M218884471,0.0,0.0
