step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
423,PAYMENT,15628.74,C947091527,7128.0,0.0,M224067525,0.0,0.0
423,CASH_OUT,321099.15,C1283244,0.0,0.0,C1823840192,476959.62,798058.77
423,CASH_IN,256293.45,C1499226649,22369.0,278662.45,C1375753336,8274.59,0.0
423,CASH_OUT,36305.74,C2060359733,16019.0,0.0,C1056758995,0.0,36305.74
423,PAYMENT,5646.31,C540075134,1817.0,0.0,M1008378400,0.0,0.0
423,CASH_IN,180295.14,C116151056,12332.0,192627.14,C51850405,0.0,0.0
423,CASH_IN,524405.59,C149777608,102508.0,626913.59,C867068961,0.0,0.0
423,PAYMENT,11678.9,C794389183,626913.59,615234.69,M1178326742,0.0,0.0
423,CASH_OUT,29599.84,C573270482,35237.0,5637.16,C820330646,0.0,29599.84
423,CASH_OUT,578620.19,C1103354483,30328.0,0.0,C83786715,0.0,578620.19
423,CASH_IN,263545.47,C631987302,40532.0,304077.47,C931736451,0.0,0.0
423,PAYMENT,20413.15,C1027515235,304077.47,283664.32,M1151477999,0.0,0.0
423,CASH_OUT,181849.01,C460157514,104985.0,0.0,C706314073,0.0,181849.01
423,PAYMENT,11508.96,C1692026157,0.0,0.0,M750245742,0.0,0.0
423,PAYMENT,6285.33,C2030528327,7117.0,831.67,M151565583,0.0,0.0
423,PAYMENT,8468.91,C1062042158,831.67,0.0,M768857614,0.0,0.0
423,CASH_OUT,201507.07,C1873584556,49593.0,0.0,C784349079,718500.96,920008.03
423,CASH_OUT,156614.88,C599839131,51031.0,0.0,C728913376,0.0,156614.88
423,PAYMENT,2339.44,C1997030343,178825.0,176485.56,M1146652814,0.0,0.0
423,TRANSFER,90804.06,C2129003216,214717.0,123912.94,C813648894,264981.95,355786.01
423,CASH_OUT,126720.82,C1641677507,177709.0,50988.18,C33498453,431553.9,558274.72
423,PAYMENT,8099.28,C721054540,3509.0,0.0,M968002944,0.0,0.0
423,PAYMENT,16191.41,C1997334756,30902.0,14710.59,M1181819100,0.0,0.0
423,CASH_OUT,225740.93,C1068008277,16262.0,0.0,C912676746,308465.45,534206.39
423,PAYMENT,994.67,C308008877,13130.0,12135.33,M41965258,0.0,0.0
423,PAYMENT,11002.8,C1295577478,12135.33,1132.52,M921788767,0.0,0.0
423,CASH_IN,336509.89,C2061188755,37475.0,373984.89,C1492434562,70715.41,0.0
423,CASH_OUT,120293.45,C2053968132,41490.0,0.0,C594113549,18457.96,138751.41
423,CASH_OUT,54684.75,C1884515086,21824.0,0.0,C1741686237,0.0,54684.75
423,CASH_IN,175559.12,C1293227970,215284.0,390843.12,C1947434296,1229223.74,1053664.62
423,PAYMENT,9200.53,C1847170901,95254.0,86053.47,M2095992483,0.0,0.0
423,PAYMENT,20891.07,C395202859,20215.0,0.0,M1925250847,0.0,0.0
423,CASH_OUT,68650.3,C1354857773,38051.0,0.0,C1462843297,59146.15,127796.45
423,PAYMENT,5716.75,C1582611136,0.0,0.0,M993443624,0.0,0.0
423,PAYMENT,11782.87,C1325107030,96026.0,84243.13,M361276337,0.0,0.0
423,TRANSFER,3588174.94,C1861323130,3588174.94,0.0,C1184434945,0.0,0.0
423,CASH_OUT,3588174.94,C1622193267,3588174.94,0.0,C1576120612,103757.04,3691931.98
423,PAYMENT,1635.02,C1919114756,9560.0,7924.98,M572980946,0.0,0.0
423,CASH_OUT,71763.92,C1082005941,7924.98,0.0,C459166786,1711173.62,1782937.54
423,CASH_OUT,122002.41,C621297381,11979.0,0.0,C1870854799,0.0,122002.41
423,PAYMENT,5470.93,C1299433278,15823.0,10352.07,M1488351276,0.0,0.0
423,CASH_OUT,119308.47,C1748334910,9962.0,0.0,C356615292,0.0,119308.47
423,PAYMENT,23390.42,C204381643,0.0,0.0,M1605890375,0.0,0.0
423,TRANSFER,870957.65,C879484301,198059.0,0.0,C619403878,139180.95,1010138.6
423,PAYMENT,3432.42,C2002042551,120.0,0.0,M258782547,0.0,0.0
