step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
39,PAYMENT,8178.29,C426338546,102458.0,94279.71,M1894949730,0.0,0.0
39,CASH_IN,264117.54,C1161721554,94279.71,358397.24,C1124754747,1674572.17,1410454.63
39,CASH_OUT,35296.22,C1385940134,456497.0,421200.78,C778306577,4136020.65,4171316.87
39,PAYMENT,11476.68,C15141119,421200.78,409724.1,M1701528114,0.0,0.0
39,CASH_OUT,299741.6,C1406480555,30841.0,0.0,C1661064315,0.0,299741.6
39,CASH_OUT,94612.55,C1600610435,15.0,0.0,C262664073,201848.71,296461.26
39,PAYMENT,4727.75,C1736387424,0.0,0.0,M1488621423,0.0,0.0
39,CASH_OUT,61197.39,C579906747,16448.0,0.0,C942428133,153578.62,214776.0
39,CASH_OUT,323098.63,C1175954194,15742.0,0.0,C305514081,436607.83,759706.46
39,TRANSFER,672262.58,C1487774875,305056.0,0.0,C595541777,128839.27,801101.85
39,PAYMENT,6838.0,C1415612694,5072.0,0.0,M1941049941,0.0,0.0
39,PAYMENT,15754.12,C138817538,112918.0,97163.88,M1031455981,0.0,0.0
39,CASH_OUT,7794.78,C1837285997,31547.0,23752.22,C172137506,1.925702527E7,1.926482006E7
39,CASH_OUT,247847.41,C247551282,30532.0,0.0,C1890360080,0.0,247847.41
39,PAYMENT,10521.51,C926855880,26815.0,16293.49,M1544045934,0.0,0.0
39,CASH_OUT,83784.09,C669152552,175.0,0.0,C1053390679,88781.32,172565.41
39,TRANSFER,136698.22,C596565027,602427.0,465728.78,C309896473,256041.14,392739.35
39,PAYMENT,4662.87,C1642365544,52196.0,47533.13,M2144962575,0.0,0.0
39,PAYMENT,9909.92,C1269230057,10393.0,483.08,M513563514,0.0,0.0
39,PAYMENT,17917.65,C1538161923,11609.0,0.0,M1745100681,0.0,0.0
39,CASH_IN,60704.93,C336681665,52145.0,112849.93,C1178083294,0.0,0.0
39,PAYMENT,9109.81,C1747616946,149950.1,140840.28,M1078246097,0.0,0.0
39,TRANSFER,254890.37,C150211847,140840.28,0.0,C894882415,3596512.75,3851403.11
39,CASH_IN,425956.28,C372083082,11558.0,437514.28,C1112827998,362245.72,0.0
39,CASH_OUT,183888.96,C715030761,9069.0,0.0,C532125802,260183.52,444072.48
39,TRANSFER,152887.5,C1340679513,0.0,0.0,C1205013444,210479.29,363366.79
39,PAYMENT,11586.97,C1734186390,84908.0,73321.03,M499527982,0.0,0.0
39,CASH_OUT,184487.1,C1132553143,11635.0,0.0,C1624061227,0.0,184487.1
39,CASH_OUT,25756.79,C1170494835,0.0,0.0,C1434980121,81265.0,107021.79
39,PAYMENT,10696.44,C1312721272,21189.0,10492.56,M1650298576,0.0,0.0
39,CASH_IN,341757.1,C705283575,118.0,341875.1,C1066937188,0.0,0.0
39,CASH_OUT,37674.51,C1291940360,109.0,0.0,C1488238459,0.0,37674.51
39,PAYMENT,5290.85,C2010011545,554619.0,549328.15,M2037087422,0.0,0.0
