step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
552,PAYMENT,13674.11,C1282634358,41712.0,28037.89,M531682386,0.0,0.0
552,PAYMENT,2663.81,C1661554104,33992.0,31328.19,M1386460859,0.0,0.0
552,PAYMENT,10505.49,C85237339,30058.0,19552.51,M471845103,0.0,0.0
552,PAYMENT,11349.32,C894575193,30015.0,18665.68,M2047564838,0.0,0.0
552,PAYMENT,230.62,C1531769722,70005.0,69774.38,M972423244,0.0,0.0
552,PAYMENT,10457.89,C487763393,108538.0,98080.11,M1037580329,0.0,0.0
552,PAYMENT,11944.87,C28564427,20179.0,8234.13,M147738577,0.0,0.0
552,PAYMENT,16885.62,C12224428,34963.0,18077.38,M2095054562,0.0,0.0
552,PAYMENT,7323.04,C1663897393,23004.0,15680.96,M426210370,0.0,0.0
552,PAYMENT,4146.62,C1303643941,875.0,0.0,M1319098527,0.0,0.0
552,CASH_OUT,244283.7,C1170215674,0.0,0.0,C1822599359,760079.99,1004363.69
552,TRANSFER,45116.24,C1739041636,45116.24,0.0,C1705990393,0.0,0.0
552,CASH_OUT,45116.24,C172426650,45116.24,0.0,C209901373,0.0,45116.24
552,PAYMENT,1135.24,C975994733,115068.0,113932.76,M2143218960,0.0,0.0
552,PAYMENT,376.23,C622363912,9159.0,8782.77,M390148068,0.0,0.0
552,CASH_IN,131484.14,C1322253686,8782.77,140266.91,C33939563,177485.5,46001.36
552,CASH_IN,266487.22,C1175543762,140266.91,406754.13,C1721895171,333025.55,66538.34
552,CASH_IN,199827.79,C658551517,406754.13,606581.92,C1345551237,3957366.77,3757538.98
552,CASH_IN,287780.64,C971020254,606581.92,894362.55,C1991599417,918190.18,630409.55
552,CASH_IN,146340.36,C141949401,894362.55,1040702.91,C408129878,2323991.19,2177650.83
552,CASH_IN,294119.37,C1154926794,1040702.91,1334822.29,C809728872,383634.98,89515.61
552,CASH_IN,457922.23,C1721916631,1334822.29,1792744.52,C1380733139,2156225.6,1698303.37
552,CASH_IN,39188.74,C1539402170,1792744.52,1831933.26,C1763122202,1281595.56,1242406.82
552,CASH_IN,312546.53,C2086529066,1831933.26,2144479.79,C1451868199,9987283.9,9674737.37
552,CASH_IN,137642.0,C247459827,2144479.79,2282121.79,C808974202,1243349.02,1105707.02
552,CASH_IN,282922.25,C2056211991,2282121.79,2565044.05,C1771330534,3452181.78,3169259.52
552,CASH_IN,46323.5,C710112325,2565044.05,2611367.54,C699102427,168064.15,121740.66
552,CASH_IN,309753.72,C970773917,2611367.54,2921121.27,C1999298473,1017134.69,707380.96
552,CASH_IN,432689.02,C1223521570,2921121.27,3353810.29,C605936548,8531257.75,8098568.73
